,old,new,percent_change,deciles
10th,7924.455636666667,9072.8,14.5,10th
20th,11483.907906073786,12642.69721011252,10.1,20th
30th,16403.09232016706,17154.17095527663,4.6,30th
40th,22890.83374705863,23463.040332066128,2.5,40th
50th (median),30593.47568267948,30789.11001470199,0.6,50th
60th,39586.25,39392.967268832486,-0.5,60th
70th,49440.407022643514,49108.689748217694,-0.7,70th
80th,62851.472100249135,62205.81272868461,-1.0,80th
90th,85999.2682851424,84874.24972020704,-1.3,90th
